
Gurobi 10.0.1 (linux64) logging started Sun Jun 15 11:56:50 2025

Set parameter LogFile to value "LogFile_Sub1_B2_2.txt"
Set parameter LogToConsole to value 0
Set parameter MIPFocus to value 3
Set parameter Cuts to value 3
Set parameter TimeLimit to value 7200
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (linux64)

CPU model: Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 80 physical cores, 80 logical processors, using up to 32 threads

Optimize a model with 105 rows, 97 columns and 233 nonzeros
Model fingerprint: 0x7cd3cc78
Model has 28 quadratic objective terms
Model has 1 quadratic constraint
Variable types: 68 continuous, 29 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 1e+04]
  Objective range  [8e+00, 1e+04]
  QObjective range [2e+00, 2e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 1e+04]
Presolve removed 86 rows and 49 columns
Presolve time: 0.00s
Presolved: 52 rows, 56 columns, 209 nonzeros
Presolved model has 8 bilinear constraint(s)
Variable types: 47 continuous, 9 integer (0 binary)
Root relaxation presolve removed 11 rows and 23 columns
Root relaxation presolved: 41 rows, 33 columns, 112 nonzeros


Root relaxation: objective 1.756815e+02, 37 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  175.00000    0   12          -  175.00000      -     -    0s
     0     0  173.00000    0    5          -  173.00000      -     -    0s
     0     0  173.00000    0    5          -  173.00000      -     -    0s
H    0     0                      69.0000000  173.00000   151%     -    0s
H    0     0                      70.0000000  173.00000   147%     -    0s
     0     2  173.00000    0    5   70.00000  173.00000   147%     -    0s
 1713037 696551   71.53903   67    5   70.00000   72.00000  2.86%   1.0  367s
 1730933 704084   72.00000   67    4   70.00000   72.00000  2.86%   1.0  370s
 1766001 717968   71.98416   65    5   70.00000   72.00000  2.86%   1.0  377s
 1781657 725512   71.95569   48    4   70.00000   72.00000  2.86%   1.0  381s
 1799503 732624   71.91188   45    3   70.00000   72.00000  2.86%   1.0  385s
 1834861 747630   71.40374   67    5   70.00000   72.00000  2.86%   1.0  392s
 1852462 754955   71.24969   48    3   70.00000   72.00000  2.86%   1.0  397s
 1870011 762093   72.00000   40    2   70.00000   72.00000  2.86%   1.0  400s
 1887076 769251   71.65221   53    4   70.00000   72.00000  2.86%   1.0  405s
 1916908 781687   71.73942   67    5   70.00000   72.00000  2.86%   1.0  412s
 1934040 788193   72.00000   57    4   70.00000   72.00000  2.86%   1.0  416s
 1967238 802934   71.81558   50    4   70.00000   72.00000  2.86%   1.0  423s
 1984916 810028   72.00000   71    4   70.00000   72.00000  2.86%   1.0  427s
 2001988 817597   72.00000   56    4   70.00000   72.00000  2.86%   1.0  430s
 2035462 831313   72.00000   61    4   70.00000   72.00000  2.86%   1.0  437s
 2052434 838883   72.00000   57    4   70.00000   72.00000  2.86%   1.0  441s
 2070554 845947   72.00000   58    4   70.00000   72.00000  2.86%   1.0  445s
 2105493 860648   71.89586   51    4   70.00000   72.00000  2.86%   1.0  452s
 2122520 868239   71.90567   54    4   70.00000   72.00000  2.86%   1.0  455s
 2155666 882020   72.00000   56    4   70.00000   72.00000  2.86%   1.0  462s
 2173396 889139   72.00000   54    3   70.00000   72.00000  2.86%   1.0  466s
 2190409 896330   71.89339   58    4   70.00000   72.00000  2.86%   1.0  470s
 2225346 910944   71.95665   61    4   70.00000   72.00000  2.86%   1.0  477s
 2242926 917972   72.00000   65    4   70.00000   72.00000  2.86%   1.0  480s
 2277946 931513   71.97950   63    5   70.00000   72.00000  2.86%   1.0  489s
 2292124 939024   71.73619   64    5   70.00000   72.00000  2.86%   1.0  492s
 2310085 946272   71.68294   52    4   70.00000   72.00000  2.86%   1.0  496s
 2327575 953328   71.57356   49    3   70.00000   72.00000  2.86%   1.0  500s
 2362378 967759   72.00000   53    3   70.00000   72.00000  2.86%   1.0  507s
 2379182 975171   71.77478   61    5   70.00000   72.00000  2.86%   1.0  511s
 2414703 988193   72.00000   58    3   70.00000   72.00000  2.86%   1.0  518s
 2428153 995424   72.00000   70    4   70.00000   72.00000  2.86%   1.0  521s
 2445523 1002173   71.84838   59    5   70.00000   72.00000  2.86%   1.0  525s
 2479301 1016592   71.36040   71    5   70.00000   72.00000  2.86%   1.0  533s
 2496107 1021303   71.58885   55    4   70.00000   72.00000  2.86%   1.0  536s
 2511255 1020472   71.83123   53    5   70.00000   71.83123  2.62%   1.0  540s
 2532598 1016333 infeasible   71        70.00000   71.00000  1.43%   1.0  546s
 2565224 1015237   71.00000   51    5   70.00000   71.00000  1.43%   1.0  552s
 2581779 1014759 infeasible   75        70.00000   71.00000  1.43%   1.0  555s
 2613744 1013627   71.00000   68    4   70.00000   71.00000  1.43%   1.0  561s
 2630556 1013042 infeasible   69        70.00000   71.00000  1.43%   1.0  565s
 2664663 1011994   71.00000   64    4   70.00000   71.00000  1.43%   1.0  572s
 2681811 1011554 infeasible   75        70.00000   71.00000  1.43%   0.9  575s
 2714284 1010448   71.00000   61    3   70.00000   71.00000  1.43%   0.9  581s
 2731639 1009924 infeasible   61        70.00000   71.00000  1.43%   0.9  585s
 2766410 1008864 infeasible   69        70.00000   71.00000  1.43%   0.9  592s
 2782111 1008269   71.00000   61    4   70.00000   71.00000  1.43%   0.9  595s
 2815002 1007202   71.00000   64    4   70.00000   71.00000  1.43%   0.9  602s
 2832213 1006638   71.00000   70    4   70.00000   71.00000  1.43%   0.9  605s
 2866984 1005510   71.00000   65    4   70.00000   71.00000  1.43%   0.9  612s
 2884335 1004930   71.00000   67    3   70.00000   71.00000  1.43%   0.9  615s
 2902428 1004379 infeasible   70        70.00000   71.00000  1.43%   0.9  620s
 2936362 1003116   71.00000   67    4   70.00000   71.00000  1.43%   0.9  627s
 2954587 1002488   71.00000   76    4   70.00000   71.00000  1.43%   0.9  630s
 2990610 1001192 infeasible   71        70.00000   71.00000  1.43%   0.9  637s
 3008530 1000620 infeasible   60        70.00000   71.00000  1.43%   0.9  641s
 3042316 999397   71.00000   80    4   70.00000   71.00000  1.43%   0.9  647s
 3060254 998810 infeasible   74        70.00000   71.00000  1.43%   0.9  651s
 3077628 998123   71.00000   69    4   70.00000   71.00000  1.43%   0.9  655s
 3113423 996906 infeasible   71        70.00000   71.00000  1.43%   0.9  663s
 3128512 996313   71.00000   70    4   70.00000   71.00000  1.43%   0.9  665s
 3164206 995075 infeasible   70        70.00000   71.00000  1.43%   0.8  673s
 3182005 994399 infeasible   55        70.00000   71.00000  1.43%   0.8  676s
 3199901 993778   71.00000   67    4   70.00000   71.00000  1.43%   0.8  680s
 3233867 992555 infeasible   78        70.00000   71.00000  1.43%   0.8  686s
 3251455 991987 infeasible   71        70.00000   71.00000  1.43%   0.8  691s
 3268382 991344   71.00000   55    3   70.00000   71.00000  1.43%   0.8  695s
 3304467 990093 infeasible   73        70.00000   71.00000  1.43%   0.8  702s
 3322621 989477 infeasible   66        70.00000   71.00000  1.43%   0.8  705s
 3356315 988266   71.00000   73    4   70.00000   71.00000  1.43%   0.8  712s
 3374563 987606   71.00000   70    4   70.00000   71.00000  1.43%   0.8  715s
 3410301 986283   71.00000   66    4   70.00000   71.00000  1.43%   0.8  724s
 3428143 985684 infeasible   65        70.00000   71.00000  1.43%   0.8  728s
 3444505 985042   71.00000   71    4   70.00000   71.00000  1.43%   0.8  731s
 3480016 983781 infeasible   78        70.00000   71.00000  1.43%   0.8  738s
 3497881 983160   71.00000   64    4   70.00000   71.00000  1.43%   0.8  741s
 3515481 982537   71.00000   72    4   70.00000   71.00000  1.43%   0.8  745s
 3549565 981372 infeasible   80        70.00000   71.00000  1.43%   0.8  752s
 3567707 980829   71.00000   72    4   70.00000   71.00000  1.43%   0.8  755s
 3603464 979618   71.00000   80    4   70.00000   71.00000  1.43%   0.8  762s
 3621669 978987   71.00000   62    3   70.00000   71.00000  1.43%   0.8  766s
 3652978 977863   71.00000   62    4   70.00000   71.00000  1.43%   0.8  772s
 3670828 977283   71.00000   71    4   70.00000   71.00000  1.43%   0.7  776s
 3706630 976064   71.00000   73    4   70.00000   71.00000  1.43%   0.7  783s
 3724608 975502   71.00000   78    4   70.00000   71.00000  1.43%   0.7  786s
 3742179 974872 infeasible   74        70.00000   71.00000  1.43%   0.7  791s
 3776020 973722   71.00000   56    3   70.00000   71.00000  1.43%   0.7  797s
 3794388 973116 infeasible   78        70.00000   71.00000  1.43%   0.7  801s
 3830328 971876   71.00000   62    4   70.00000   71.00000  1.43%   0.7  808s
 3848003 971311 infeasible   63        70.00000   71.00000  1.43%   0.7  812s
 3866107 970741   71.00000   71    4   70.00000   71.00000  1.43%   0.7  815s
 3899852 969590 infeasible   73        70.00000   71.00000  1.43%   0.7  822s
 3917808 969004 infeasible   81        70.00000   71.00000  1.43%   0.7  826s
 3953589 967803 infeasible   71        70.00000   71.00000  1.43%   0.7  832s
 3971611 967270 infeasible   73        70.00000   71.00000  1.43%   0.7  836s
 4005195 966103 infeasible   49        70.00000   71.00000  1.43%   0.7  843s
 4023157 965489   71.00000   53    3   70.00000   71.00000  1.43%   0.7  846s
 4041335 964905   71.00000   76    4   70.00000   71.00000  1.43%   0.7  850s
 4077355 963678   71.00000   69    4   70.00000   71.00000  1.43%   0.7  857s
 4095326 963099   71.00000   66    4   70.00000   71.00000  1.43%   0.7  861s
 4121548 962173   71.00000   66    4   70.00000   71.00000  1.43%   0.7  867s
 4139525 961599   71.00000   76    4   70.00000   71.00000  1.43%   0.7  870s
 4175351 960432 infeasible   73        70.00000   71.00000  1.43%   0.7  877s
 4193146 959813 infeasible   70        70.00000   71.00000  1.43%   0.7  881s
 4228779 958693   71.00000   69    4   70.00000   71.00000  1.43%   0.7  888s
 4244805 958157   71.00000   71    4   70.00000   71.00000  1.43%   0.7  891s
 4261991 957518 infeasible   85        70.00000   71.00000  1.43%   0.7  895s
 4297805 956255   71.00000   72    3   70.00000   71.00000  1.43%   0.7  902s
 4315895 955605 infeasible   85        70.00000   71.00000  1.43%   0.7  906s
 4349114 954614   71.00000   61    4   70.00000   71.00000  1.43%   0.7  912s
 4365314 953993 infeasible   76        70.00000   71.00000  1.43%   0.7  916s
 4383408 953417 infeasible   80        70.00000   71.00000  1.43%   0.6  920s
 4419318 952211   71.00000   71    4   70.00000   71.00000  1.43%   0.6  927s
 4437033 951710   71.00000   79    4   70.00000   71.00000  1.43%   0.6  931s
 4452977 951119   71.00000   74    4   70.00000   71.00000  1.43%   0.6  935s
 4489141 949946 infeasible   73        70.00000   71.00000  1.43%   0.6  942s
 4507052 949356 infeasible   77        70.00000   71.00000  1.43%   0.6  946s
 4542697 948163 infeasible   75        70.00000   71.00000  1.43%   0.6  953s
 4560783 947690 infeasible   78        70.00000   71.00000  1.43%   0.6  957s
 4576765 947097 infeasible   81        70.00000   71.00000  1.43%   0.6  960s
 4612648 946014   71.00000   74    4   70.00000   71.00000  1.43%   0.6  967s
 4630737 945413 infeasible   74        70.00000   71.00000  1.43%   0.6  971s
 4666445 944317   71.00000   58    3   70.00000   71.00000  1.43%   0.6  978s
 4682438 943724 infeasible   79        70.00000   71.00000  1.43%   0.6  981s
 4718333 942554   71.00000   80    4   70.00000   71.00000  1.43%   0.6  988s
 4736321 941997   71.00000   70    4   70.00000   71.00000  1.43%   0.6  992s
 4754297 941519 infeasible   82        70.00000   71.00000  1.43%   0.6  995s
 4787846 940394   71.00000   74    4   70.00000   71.00000  1.43%   0.6 1002s
 4806227 939872 infeasible   76        70.00000   71.00000  1.43%   0.6 1005s
 4842308 938846 infeasible   79        70.00000   71.00000  1.43%   0.6 1013s
 4857456 938291   71.00000   67    4   70.00000   71.00000  1.43%   0.6 1017s
 4875754 937722   71.00000   75    4   70.00000   71.00000  1.43%   0.6 1020s
 4909984 936518 infeasible   77        70.00000   71.00000  1.43%   0.6 1027s
 4927847 935942   71.00000   60    4   70.00000   71.00000  1.43%   0.6 1030s
 4963285 934667   71.00000   71    4   70.00000   71.00000  1.43%   0.6 1038s
 4981506 934175   71.00000   70    4   70.00000   71.00000  1.43%   0.6 1041s
 5014862 933009 infeasible   59        70.00000   71.00000  1.43%   0.6 1048s
 5032686 932425 infeasible   87        70.00000   71.00000  1.43%   0.6 1051s
 5050684 931853   71.00000   72    4   70.00000   71.00000  1.43%   0.6 1055s
 5086334 930647 infeasible   59        70.00000   71.00000  1.43%   0.6 1062s
 5103981 930099   71.00000   64    4   70.00000   71.00000  1.43%   0.6 1066s
 5138079 928901 infeasible   63        70.00000   71.00000  1.43%   0.6 1073s
 5156054 928286   71.00000   75    4   70.00000   71.00000  1.43%   0.6 1076s
 5173837 927286 infeasible   71        70.00000   71.00000  1.43%   0.6 1080s
 5210018 925591 infeasible   70        70.00000   71.00000  1.43%   0.6 1087s
 5225743 924634 infeasible   72        70.00000   71.00000  1.43%   0.6 1090s
 5261968 922681   71.00000   63    4   70.00000   71.00000  1.43%   0.6 1097s
 5280018 921758 infeasible   75        70.00000   71.00000  1.43%   0.6 1100s
 5316224 919990 infeasible   60        70.00000   71.00000  1.43%   0.6 1107s
 5332488 919024   71.00000   76    4   70.00000   71.00000  1.43%   0.6 1111s
 5350536 918110 infeasible   43        70.00000   71.00000  1.43%   0.6 1115s
 5385459 916243   71.00000   75    4   70.00000   71.00000  1.43%   0.6 1121s
 5403331 915401   71.00000   66    4   70.00000   71.00000  1.43%   0.6 1125s
 5439290 913633   71.00000   71    4   70.00000   71.00000  1.43%   0.5 1132s
 5455355 912681 infeasible   75        70.00000   71.00000  1.43%   0.5 1135s
 5491456 910925 infeasible   64        70.00000   71.00000  1.43%   0.5 1142s
 5509540 909951   71.00000   71    4   70.00000   71.00000  1.43%   0.5 1146s
 5545921 908169   71.00000   56    3   70.00000   71.00000  1.43%   0.5 1152s
 5561378 907212 infeasible   77        70.00000   71.00000  1.43%   0.5 1155s
 5597888 905355 infeasible   69        70.00000   71.00000  1.43%   0.5 1162s
 5615776 904433 infeasible   80        70.00000   71.00000  1.43%   0.5 1166s
 5648721 902778   71.00000   66    4   70.00000   71.00000  1.43%   0.5 1173s
 5666627 901956   71.00000   60    4   70.00000   71.00000  1.43%   0.5 1176s
