
Gurobi 10.0.1 (linux64) logging started Sun Jun 15 21:16:55 2025

Set parameter LogFile to value "LogFile_Subproblem_B4_S0.txt"
Set parameter LogToConsole to value 0
Set parameter MIPFocus to value 3
Set parameter Cuts to value 3
Set parameter TimeLimit to value 7200
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (linux64)

CPU model: Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 80 physical cores, 80 logical processors, using up to 32 threads

Optimize a model with 77 rows, 97 columns and 149 nonzeros
Model fingerprint: 0xbf9090b9
Model has 28 quadratic objective terms
Model has 28 quadratic constraints
Variable types: 69 continuous, 28 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+04]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 1e+00]
  Objective range  [8e+00, 1e+04]
  QObjective range [2e+00, 2e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+01, 4e+01]
  QRHS range       [1e+00, 1e+00]
Presolve removed 51 rows and 52 columns
Presolve time: 0.00s
Presolved: 59 rows, 54 columns, 174 nonzeros
Presolved model has 16 bilinear constraint(s)
Variable types: 45 continuous, 9 integer (0 binary)
Root relaxation presolve removed 22 rows and 16 columns

Root relaxation: numerical trouble, 0 iterations, 0.00 seconds (0.00 work units)
Exploring 100 nodes in MinRel heuristic

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                      -0.0000000          -      -     -    0s
Feasible solution found by MinRel heuristic at node 1
 2633975 21586  postponed 11025        70.00000          -      -   2.8 1202s
 2644347 21609  postponed 10590        70.00000          -      -   2.8 1206s
 2653767 21639 infeasible 8639        70.00000          -      -   2.8 1211s
 2665845 21651 infeasible 10461        70.00000          -      -   2.8 1216s
 2675398 21648 infeasible 8305        70.00000          -      -   2.8 1221s
 2685574 21642 infeasible 8418        70.00000          -      -   2.8 1226s
 2695977 21651 infeasible 8311        70.00000          -      -   2.8 1231s
 2707349 21629 infeasible 10148        70.00000          -      -   2.7 1236s
 2717501 21639  postponed 10233        70.00000          -      -   2.7 1240s
 2727801 21644 infeasible 10788        70.00000          -      -   2.7 1245s
 2743242 21664  postponed 10449        70.00000          -      -   2.7 1252s
 2752556 21706  postponed 8201        70.00000          -      -   2.7 1256s
 2762872 21737 infeasible 10711        70.00000          -      -   2.7 1261s
 2773530 21762  postponed 10614        70.00000          -      -   2.7 1266s
 2784245 21777 infeasible 10805        70.00000          -      -   2.7 1271s
 2794135 21782 infeasible 8415        70.00000          -      -   2.7 1275s
 2805585 21819  postponed 8298        70.00000          -      -   2.7 1280s
 2816231 21828 infeasible 8478        70.00000          -      -   2.7 1285s
 2832156 21840  postponed 8969        70.00000          -      -   2.7 1291s
 2842399 21838 infeasible 8567        70.00000          -      -   2.7 1296s
 2853532 21846  postponed 8681        70.00000          -      -   2.7 1301s
 2864918 21846  postponed 11350        70.00000          -      -   2.7 1305s
 2875046 21878 infeasible 8786        70.00000          -      -   2.7 1310s
 2885020 21882 infeasible 8478        70.00000          -      -   2.7 1315s
 2896541 21902 infeasible 10378        70.00000          -      -   2.7 1320s
